model,task,method,lora_r,test_f1_mean,test_f1_std,test_acc_mean,trainable_params,pct_trainable,vram_gb,minutes,seeds
iriis-roberta,acceptability,full,0,0.8119999999999999,0.006200000000000053,0.8547333333333333,124640258,100.0,2.2133333333333334,2.533333333333333,3
iriis-roberta,acceptability,lora,8,0.7648,0.003996248240537628,0.8275333333333332,887042,0.707,1.1,1.1,3
iriis-roberta,coreference,full,0,0.3068666666666667,0.0273573268674652,0.3451,124640258,100.0,2.38,3.6666666666666665,3
iriis-roberta,coreference,lora,8,0.38166666666666665,0.04595153243726843,0.38966666666666666,887042,0.707,1.2,0.6,3
iriis-roberta,sentiment,full,0,0.8781333333333334,0.0006806859285553561,0.8782,124640258,100.0,2.89,10.666666666666666,3
iriis-roberta,sentiment,lora,8,0.8503,0.001044030650891077,0.8503333333333334,887042,0.707,1.616666666666667,6.400000000000001,3
mbert,acceptability,full,0,0.7685333333333334,0.004725815626252624,0.8188,177854978,100.0,3.56,9.433333333333334,3
mbert,acceptability,lora,8,0.7205666666666666,0.006046762219017137,0.7972666666666667,887042,0.496,1.86,1.3666666666666665,3
mbert,coreference,full,0,0.3274,0.017493713156445656,0.43193333333333334,177854978,100.0,3.77,20.433333333333334,3
mbert,coreference,lora,8,0.41286666666666666,0.017234945121274204,0.4624333333333333,887042,0.496,2.0233333333333334,0.9,3
mbert,sentiment,full,0,0.8641333333333333,0.0004041451884327645,0.8642,177854978,100.0,4.066666666666666,22.2,3
mbert,sentiment,lora,8,0.8077,0.0011532562594671102,0.8078666666666666,887042,0.496,2.2533333333333334,13.166666666666666,3
nepberta,acceptability,full,0,0.8062999999999999,0.0032046840717924446,0.8461666666666666,109483778,100.0,2.34,3.466666666666667,3
nepberta,acceptability,lora,8,0.7370666666666666,0.0033545988334424473,0.8032333333333334,887042,0.804,1.27,1.1666666666666667,3
nepberta,coreference,full,0,0.32883333333333337,0.02289374004686291,0.43426666666666663,109483778,100.0,2.42,6.8999999999999995,3
nepberta,coreference,lora,8,0.4081666666666666,0.02067300977925887,0.43426666666666663,887042,0.804,1.3366666666666667,0.6,3
nepberta,sentiment,full,0,0.8673000000000001,0.0015099668870541198,0.8673666666666667,109483778,100.0,3.1266666666666665,12.700000000000001,3
nepberta,sentiment,lora,8,0.8206333333333333,0.0021733231083604387,0.8207,887042,0.804,1.89,9.5,3
xlmr-base,acceptability,full,0,0.8077666666666666,0.011680039954269555,0.8477,278045186,100.0,4.5,4.766666666666667,3
xlmr-base,acceptability,lora,8,0.7303000000000001,0.0071505244562899625,0.8058,887042,0.318,1.91,1.1,3
xlmr-base,coreference,full,0,0.3173,0.0,0.46480000000000005,278045186,100.0,4.516666666666667,11.933333333333332,3
xlmr-base,coreference,lora,4,0.3521,0.049214631970583705,0.4824,739586,0.265,2.01,0.6,2
xlmr-base,coreference,lora,8,0.35356666666666664,0.06953850252438093,0.42016666666666663,887042,0.318,2.01,0.6333333333333333,3
xlmr-base,coreference,lora,16,0.3458,0.00622253967444164,0.42605,1181954,0.423,2.01,0.6,2
xlmr-base,coreference,lora,32,0.3173,0.0,0.4648,1771778,0.633,2.02,0.6,2
xlmr-base,sentiment,full,0,0.8805333333333333,0.0009237604307034356,0.8805999999999999,278045186,100.0,5.16,16.5,3
xlmr-base,sentiment,lora,8,0.8516,0.0008544003745317988,0.8516666666666667,887042,0.318,2.5733333333333333,8.7,3
